id,first_name,last_name,shirtsize,Adm2 Pcode,language,age,income,year,district
51,Cristine,Lande,S,RW57,Filipino,35,599414.32,2015,Bugesera
52,Henderson,Hawley,L,RW45,Oriya,31,481661.1,2015,Gicumbi
53,Gerri,Lidgate,M,RW55,Italian,100,733771.38,2015,Kirehe
54,Junie,Acheson,S,RW41,Indonesian,93,313584.86,2015,Rulindo
55,Agnesse,Jeandon,XL,RW37,Dutch,96,996214.08,2015,Nyamasheke
56,Merilyn,Kix,M,RW56,French,46,249687.83,2015,Ngoma
57,Arda,Kielt,M,RW27,Telugu,35,766003,2015,Muhanga
58,Ephrayim,Huguet,M,RW54,Kashmiri,88,3211.53,2015,Kayonza
59,Alyss,Nuth,L,RW32,Quechua,68,581749.14,2015,Rutsiro
60,Rivi,Ucceli,XL,RW27,Pashto,25,23008.69,2015,Muhanga
61,Jeane,Braunds,XS,RW45,French,67,51827.91,2015,Gicumbi
62,Gabrielle,Moat,M,RW42,Lithuanian,72,324970.54,2015,Gakenke
63,Mathian,Dannell,M,RW24,Haitian Creole,93,401607.58,2015,Huye
64,Sergent,McGrouther,S,RW36,Afrikaans,29,132837.79,2015,Rusizi
65,Charissa,Tremolieres,XL,RW28,Estonian,40,397230.43,2015,Kamonyi
66,Tressa,Redsull,L,RW52,Albanian,64,796687.35,2015,Nyagatare
67,Nonnah,Stockwell,M,RW53,Indonesian,53,769425.35,2015,Gatsibo
68,Nerissa,Daddow,M,RW36,Spanish,23,925381.46,2015,Rusizi
69,Xavier,Middlebrook,S,RW26,Bislama,51,881375.01,2015,Ruhango
70,Kirsti,Eykel,2XL,RW56,Azeri,53,613473.31,2015,Ngoma
71,Nariko,Giddens,XL,RW36,Thai,35,313297.47,2015,Rusizi
72,Cornell,Ashling,2XL,RW25,Georgian,53,557137.61,2015,Nyamagabe
73,Jenn,Stronough,XL,RW24,Telugu,24,858852.36,2015,Huye
74,Jolie,Wenham,M,RW28,Indonesian,73,440978.78,2015,Kamonyi
75,Lamont,McGrey,L,RW21,Gujarati,35,93863.78,2015,Nyanza
76,Ed,Cattach,L,RW44,Quechua,80,892677.27,2015,Burera
77,Susan,Voelker,M,RW53,Assamese,95,329466.94,2015,Gatsibo
78,Kaitlynn,Northern,XL,RW25,Czech,86,698185.03,2015,Nyamagabe
79,Freda,Fidelus,L,RW28,Sotho,31,834392.67,2015,Kamonyi
80,Kimberli,McKernan,XS,RW44,Assamese,22,336692.08,2015,Burera
81,Jone,Voce,M,RW55,Estonian,6,518244.64,2015,Kirehe
82,Emlen,Connett,XS,RW57,Mongolian,64,31404.91,2015,Bugesera
83,Guinevere,Colliard,2XL,RW43,Tamil,50,465907.52,2015,Musanze
84,Cobby,Rootes,L,RW25,Romanian,18,938870.84,2015,Nyamagabe
85,Kristofer,Dugdale,S,RW37,Sotho,8,290541.39,2015,Nyamasheke
86,Neils,Le Moucheux,2XL,RW28,Persian,70,268674.34,2015,Kamonyi
87,Kacy,Brayson,S,RW32,Japanese,14,869336.29,2015,Rutsiro
88,Valentin,Millom,M,RW28,Malayalam,14,497553.37,2015,Kamonyi
89,Addy,Wither,S,RW28,Amharic,95,217332.57,2015,Kamonyi
90,Arline,Creus,2XL,RW56,Mongolian,95,192122.11,2015,Ngoma
91,Ynez,Braz,3XL,RW27,Fijian,82,592260.48,2015,Muhanga
92,Korrie,Pottell,S,RW22,Bulgarian,28,913090,2015,Gisagara
93,Benji,Leon,XL,RW44,Bislama,64,971950.58,2015,Burera
94,Kristoforo,Straniero,3XL,RW23,Somali,40,965931.26,2015,Nyaruguru
95,Pet,Casterou,S,RW41,Papiamento,20,828949.55,2015,Rulindo
96,Nicoli,Beeho,XS,RW35,Romanian,97,841820.66,2015,Ngororero
97,Flossie,Leber,XS,RW26,Mongolian,23,472253.66,2015,Ruhango
98,Inglebert,Ballantyne,2XL,RW31,Luxembourgish,97,853806.64,2015,Karongi
99,Bartolemo,Denisard,2XL,RW26,Hindi,80,160669.49,2015,Ruhango
100,Dani,Heartfield,L,RW51,Quechua,26,814282.27,2015,Rwamagana
101,Ulrikaumeko,Handscombe,M,RW41,Finnish,92,475853.37,2015,Rulindo
102,Vasily,Leverton,3XL,RW42,Belarusian,67,869937.11,2015,Gakenke
103,Sela,Galpen,3XL,RW36,Georgian,73,465032.18,2015,Rusizi
104,Nadeen,Caustick,2XL,RW23,Estonian,39,515659.61,2015,Nyaruguru
105,Cortney,Blackadder,3XL,RW11,Czech,25,384408.44,2015,Nyarugenge
106,Bethany,Comettoi,3XL,RW24,Moldovan,3,281272,2015,Huye
107,Ynes,Mattielli,3XL,RW21,Luxembourgish,40,813182.17,2015,Nyanza
108,Regan,Slyde,3XL,RW54,French,17,984632.86,2015,Kayonza
109,Rafaela,Cantera,S,RW43,Haitian Creole,4,743432.83,2015,Musanze
110,Marty,Bedells,L,RW13,Spanish,91,207926.69,2015,Kicukiro
111,Ilise,Dennidge,S,RW43,Gujarati,3,891894.69,2015,Musanze
112,Una,Shireff,S,RW57,Amharic,77,989463.07,2015,Bugesera
113,Nat,Feldman,XS,RW51,Punjabi,53,246853.41,2015,Rwamagana
114,Karoline,Brandacci,L,RW33,Tajik,72,329757.27,2015,Rubavu
115,Eleanor,Wynes,M,RW22,Swedish,42,357312.75,2015,Gisagara
116,Cora,Erik,XS,RW43,Hiri Motu,12,449879.85,2015,Musanze
117,Frederigo,Trubshaw,XL,RW11,Dari,66,170217.18,2015,Nyarugenge
118,Claire,Gatley,S,RW25,Papiamento,94,597176.23,2015,Nyamagabe
119,Lisle,Carsey,3XL,RW32,Northern Sotho,79,304522.45,2015,Rutsiro
120,Candi,Winwright,2XL,RW26,Māori,30,729005.49,2015,Ruhango
121,Roy,Metcalfe,2XL,RW36,Dhivehi,80,252613.74,2015,Rusizi
122,Giffard,Ybarra,3XL,RW44,Swati,31,54919.94,2015,Burera
123,Immanuel,Francklin,3XL,RW21,Hebrew,20,616055.29,2015,Nyanza
124,Ivie,Hastler,M,RW32,Azeri,59,430943.12,2015,Rutsiro
125,Christine,Lyngsted,M,RW24,Latvian,79,846616.74,2015,Huye
126,Ira,Pepon,L,RW56,Papiamento,6,333228.99,2015,Ngoma
127,Marlane,Greer,XS,RW54,Kannada,8,128136.62,2015,Kayonza
128,Danya,Kidd,M,RW53,West Frisian,61,115562.83,2015,Gatsibo
129,Lorelle,Saich,S,RW34,Latvian,63,987339.15,2015,Nyabihu
130,Faina,Brunstan,2XL,RW43,Somali,29,104905.09,2015,Musanze
131,Mitch,Pariso,XL,RW54,Malayalam,47,993664.84,2015,Kayonza
132,Meade,Linbohm,M,RW24,Dzongkha,41,521727.29,2015,Huye
133,Euphemia,Boyles,M,RW27,Dari,46,849674.57,2015,Muhanga
134,Stesha,Baguley,M,RW37,Dutch,30,78754.32,2015,Nyamasheke
135,Maegan,Brammall,3XL,RW11,Czech,36,410368.96,2015,Nyarugenge
136,Cammie,de Keep,XS,RW53,Dutch,46,291194.38,2015,Gatsibo
137,Sharona,Townby,2XL,RW54,Fijian,60,443944.21,2015,Kayonza
138,Melinda,Morillas,XL,RW34,Georgian,27,606834.62,2015,Nyabihu
139,Gerhard,Padfield,L,RW13,Irish Gaelic,88,156996.04,2015,Kicukiro
140,Eddie,Cottham,S,RW56,English,97,210403,2015,Ngoma
141,Barry,Harwell,M,RW22,Pashto,90,314419.35,2015,Gisagara
142,Brockie,Kelleher,L,RW41,Italian,74,607865.39,2015,Rulindo
143,Riannon,Worswick,XS,RW35,Greek,86,841786.58,2015,Ngororero
144,Bronny,Olligan,2XL,RW21,Maltese,59,329357.23,2015,Nyanza
145,Alec,Westhead,M,RW22,Malayalam,3,468387.94,2015,Gisagara
146,Alli,Netting,XS,RW12,French,3,422273.18,2015,Gasabo
147,Mahalia,Bilbery,L,RW51,Tok Pisin,49,519433.53,2015,Rwamagana
148,Marthena,Vesque,3XL,RW26,New Zealand Sign Language,53,943145.76,2015,Ruhango
149,Layla,Dmytryk,S,RW28,Amharic,21,357388.09,2015,Kamonyi
150,Lem,Ber,S,RW31,Malagasy,85,644381.25,2015,Karongi
151,Putnem,Burgwyn,S,RW37,Macedonian,44,574901.28,2015,Nyamasheke
152,Wilie,Chomicki,L,RW11,Oriya,24,476474.44,2015,Nyarugenge
153,Josy,Cuer,XS,RW31,Belarusian,22,41885.68,2015,Karongi
154,Rodolph,Goodley,3XL,RW13,Albanian,12,452888.15,2015,Kicukiro
155,Claiborn,Medd,S,RW27,Indonesian,52,231084.79,2015,Muhanga
156,Lesya,Etchingham,L,RW22,Malayalam,75,830988.99,2015,Gisagara
157,Harmony,Normanvill,XS,RW52,Quechua,42,522809.18,2015,Nyagatare
158,Beale,Gilderoy,L,RW45,Malayalam,39,921820.85,2015,Gicumbi
159,Bev,Avrashin,L,RW22,Belarusian,25,800889.08,2015,Gisagara
160,Kenn,Cranna,XL,RW57,Hebrew,27,638051.7,2015,Bugesera
161,Yvon,Mariner,S,RW34,Pashto,16,220201.16,2015,Nyabihu
162,Kristoffer,Rowlinson,L,RW13,Albanian,46,789661.93,2015,Kicukiro
163,Annnora,Liversedge,M,RW34,Armenian,80,324924.66,2015,Nyabihu
164,Berne,Paice,M,RW53,Hiri Motu,26,408925.76,2015,Gatsibo
165,Fred,Malicki,XL,RW53,Gagauz,16,916606.27,2015,Gatsibo
166,Anabelle,Ballsdon,XL,RW11,Belarusian,65,302890.36,2015,Nyarugenge
167,Nanine,Bice,S,RW35,Amharic,75,980074.75,2015,Ngororero
168,Bil,Tapply,XS,RW45,Belarusian,29,908284.88,2015,Gicumbi
169,Leeann,Wesson,S,RW35,Guaraní,3,288379.49,2015,Ngororero
170,Gregorius,Nend,2XL,RW35,Georgian,41,850120.26,2015,Ngororero
171,Madalena,McCutcheon,M,RW57,Kurdish,42,169774.57,2015,Bugesera
172,Shanna,Milliken,XL,RW34,Kurdish,63,932245.3,2015,Nyabihu
173,Hermy,Wilkin,M,RW43,Kannada,13,834258.26,2015,Musanze
174,Barthel,Longfoot,M,RW42,Spanish,88,253337.02,2015,Gakenke
175,Waly,Featherston,S,RW22,Swati,80,172269.88,2015,Gisagara
176,Jojo,Schole,3XL,RW36,Bulgarian,29,396173.94,2015,Rusizi
177,Tobie,Sigars,XS,RW55,Dhivehi,37,937218.57,2015,Kirehe
178,Nicolle,Deas,3XL,RW34,Amharic,36,16827.56,2015,Nyabihu
179,Filberte,Gaul,3XL,RW25,Irish Gaelic,82,194350.1,2015,Nyamagabe
180,Anastasia,Firpi,S,RW37,Macedonian,12,988129.09,2015,Nyamasheke
181,Etty,Jandl,M,RW57,Greek,71,527148.06,2015,Bugesera
182,Darcey,Zaple,2XL,RW23,Guaraní,19,122409,2015,Nyaruguru
183,Lindon,Couronne,L,RW43,Moldovan,87,900416.55,2015,Musanze
184,Akim,Alcorn,3XL,RW11,Dari,34,821216.28,2015,Nyarugenge
185,Jeanette,Blakeslee,L,RW24,Dutch,70,767994.83,2015,Huye
186,Dian,O'Duggan,3XL,RW28,Persian,59,545039.78,2015,Kamonyi
187,Sebastien,Spurdens,2XL,RW54,Tok Pisin,24,824539.39,2015,Kayonza
188,Filippa,Prendeguest,XL,RW56,Tsonga,57,600455.76,2015,Ngoma
189,Adams,Lomis,3XL,RW28,Estonian,89,568915.14,2015,Kamonyi
190,Bondon,Gerling,S,RW34,Tetum,73,953099.05,2015,Nyabihu
191,Benton,Balazin,XL,RW35,Hindi,69,407615.07,2015,Ngororero
192,Morty,Raleston,XS,RW22,New Zealand Sign Language,6,33865.82,2015,Gisagara
193,Graeme,Youhill,L,RW31,Mongolian,16,544829.23,2015,Karongi
194,Immanuel,Fisher,S,RW55,Finnish,65,386757.19,2015,Kirehe
195,Carri,Danielot,2XL,RW31,Irish Gaelic,35,684267.67,2015,Karongi
196,Rae,Yate,M,RW25,New Zealand Sign Language,25,769912.58,2015,Nyamagabe
197,Dee dee,Seccombe,XS,RW55,Lao,2,387232.58,2015,Kirehe
198,Bobbee,Choat,M,RW36,Papiamento,84,578768.43,2015,Rusizi
199,Mycah,Cavie,S,RW32,Albanian,56,308147.31,2015,Rutsiro
200,Delaney,Dahlman,XS,RW53,Gagauz,59,870031.88,2015,Gatsibo
201,Marta,Trelevan,2XL,RW51,Tok Pisin,61,519570.04,2015,Rwamagana
202,Felic,Scrane,XS,RW21,Kyrgyz,11,957045.92,2015,Nyanza
203,Loy,Bucham,XS,RW36,Zulu,96,253438.67,2015,Rusizi
204,Kelley,Vinter,S,RW35,Danish,32,161991.61,2015,Ngororero
205,Brody,Ardling,3XL,RW13,Croatian,27,417744,2015,Kicukiro
206,Kathlin,Huws,3XL,RW22,Norwegian,30,174030.47,2015,Gisagara
207,Carney,Tessyman,XS,RW32,Afrikaans,91,133207.25,2015,Rutsiro
208,Roselia,Atwell,2XL,RW32,Oriya,37,467711.17,2015,Rutsiro
209,Sybila,Towey,2XL,RW32,Arabic,1,61902.63,2015,Rutsiro
210,Bruno,McKimm,M,RW34,Icelandic,29,530160.87,2015,Nyabihu
211,Arabelle,Driver,L,RW32,Moldovan,55,277385.7,2015,Rutsiro
212,Stella,Gunda,3XL,RW55,Swedish,66,662030.89,2015,Kirehe
213,Clarice,Howler,XL,RW23,Haitian Creole,57,979159.23,2015,Nyaruguru
214,Erda,Wattam,XL,RW25,Icelandic,98,539104.83,2015,Nyamagabe
215,Brockie,Meenehan,XS,RW56,Gagauz,24,387163.11,2015,Ngoma
216,Morris,Ahrendsen,M,RW51,Catalan,56,161512.82,2015,Rwamagana
217,Olivier,Beed,S,RW31,Armenian,22,425755.5,2015,Karongi
218,Micheil,Yateman,XS,RW34,Zulu,96,447334.92,2015,Nyabihu
219,Ethe,Snead,M,RW45,West Frisian,4,141646.98,2015,Gicumbi
220,Konstanze,Fuzzard,2XL,RW53,Czech,24,293479.53,2015,Gatsibo
221,Shani,Hulse,XL,RW41,Persian,15,819167,2015,Rulindo
222,Fiorenze,Balle,3XL,RW42,Northern Sotho,67,507572.02,2015,Gakenke
223,Neall,Biddleston,M,RW43,Polish,40,273927.21,2015,Musanze
224,Charity,Jobson,3XL,RW51,Gagauz,9,571922.27,2015,Rwamagana
225,Aeriell,Hiscocks,M,RW23,Korean,56,354496.18,2015,Nyaruguru
226,Tedmund,Nekrews,3XL,RW21,Macedonian,15,707374.12,2015,Nyanza
227,Vincenz,Collimore,XS,RW33,Tajik,56,421644.13,2015,Rubavu
228,Rutledge,Studeart,3XL,RW21,Macedonian,15,543000.65,2015,Nyanza
229,Darill,McLaverty,2XL,RW43,Swedish,64,364173.88,2015,Musanze
230,Berny,Starbucke,XL,RW26,Albanian,4,521291.51,2015,Ruhango
231,Ninette,Laurenson,XS,RW27,French,1,981207.78,2015,Muhanga
232,Lorraine,Barraclough,M,RW11,Kashmiri,80,804285.13,2015,Nyarugenge
233,Corry,Klempke,L,RW21,Armenian,2,901841.3,2015,Nyanza
234,Lorene,Bossons,L,RW52,Catalan,28,547341.7,2015,Nyagatare
235,Mortie,Robarts,S,RW32,Belarusian,8,820851,2015,Rutsiro
236,Vivianne,McEwan,S,RW34,Pashto,21,22027.59,2015,Nyabihu
237,Warden,Gavrielli,2XL,RW37,Filipino,20,706789.09,2015,Nyamasheke
238,Edan,Mayne,XL,RW44,Telugu,73,70415.05,2015,Burera
239,Osbert,Boddice,XL,RW41,Czech,3,394447.38,2015,Rulindo
240,Mada,Birkenshaw,2XL,RW51,Japanese,58,872684.34,2015,Rwamagana
241,Ericka,Sambiedge,M,RW35,Danish,99,191163.55,2015,Ngororero
242,Chan,Commander,L,RW44,Armenian,20,630195.14,2015,Burera
243,Forest,Tesche,XL,RW28,Chinese,77,352055.09,2015,Kamonyi
244,Arin,Cowderay,2XL,RW37,Arabic,61,774799,2015,Nyamasheke
245,Tore,Youson,3XL,RW22,Mongolian,58,613941.51,2015,Gisagara
246,Eleonora,McGloin,XL,RW13,Armenian,41,943292.19,2015,Kicukiro
247,Riannon,Lelande,M,RW55,Hebrew,84,485926.64,2015,Kirehe
248,Muriel,Follacaro,XL,RW54,Macedonian,50,282764.26,2015,Kayonza
249,Tobe,Bensley,2XL,RW41,Quechua,94,88930.83,2015,Rulindo
250,Aubrette,Terrelly,XS,RW35,Portuguese,8,236037.58,2015,Ngororero
251,Wilie,Jewers,2XL,RW28,Malay,56,730997.55,2015,Kamonyi
252,Rudie,Sauvage,S,RW52,Marathi,1,312177.72,2015,Nyagatare
253,Vania,De Bruyn,S,RW51,Irish Gaelic,40,776734.11,2015,Rwamagana
254,Justin,Stronghill,2XL,RW56,Filipino,66,516790.82,2015,Ngoma
255,Wanids,Lonie,2XL,RW24,Danish,59,55731.92,2015,Huye
256,Dimitri,Ruffey,M,RW55,Filipino,2,241636.72,2015,Kirehe
257,Ruperta,Whitcher,M,RW22,Belarusian,37,223119.91,2015,Gisagara
258,Shelby,Bartol,2XL,RW31,Oriya,93,239740.75,2015,Karongi
259,Mario,Durning,XL,RW35,Lithuanian,31,845873.22,2015,Ngororero
260,Zacherie,Shoreman,L,RW12,Maltese,54,113246.16,2015,Gasabo
261,Colin,Lownsbrough,S,RW52,Kashmiri,48,858995.43,2015,Nyagatare
262,Harrietta,Shields,S,RW44,Bengali,71,13112.2,2015,Burera
263,Suzanne,Carrel,M,RW33,Persian,82,362449.05,2015,Rubavu
264,Gifford,Lovelock,3XL,RW28,Malagasy,62,823789.67,2015,Kamonyi
265,Lisbeth,Sang,XS,RW41,English,36,633457.09,2015,Rulindo
266,Pepillo,Owttrim,S,RW45,Estonian,33,803511.42,2015,Gicumbi
267,Malory,Capaldo,M,RW28,New Zealand Sign Language,93,184460.78,2015,Kamonyi
268,Johnna,Vieyra,3XL,RW55,Latvian,9,825306.43,2015,Kirehe
269,Melvin,Caras,S,RW28,Haitian Creole,69,20695.58,2015,Kamonyi
270,Randi,Messenbird,L,RW45,Croatian,17,792322.39,2015,Gicumbi
271,Fanni,Cornehl,S,RW26,Spanish,56,437168.61,2015,Ruhango
272,Tommie,Dahlgren,L,RW37,Belarusian,64,339813.74,2015,Nyamasheke
273,Robb,Capehorn,XL,RW54,Tok Pisin,85,290544.68,2015,Kayonza
274,Caresse,Fielder,L,RW52,Moldovan,92,512073.28,2015,Nyagatare
275,Lucius,Sames,M,RW57,Bulgarian,97,860061.02,2015,Bugesera
276,Ethelred,Jeannenet,M,RW32,Polish,47,241860.32,2015,Rutsiro
277,Gertrud,Manders,XS,RW43,Kannada,67,376068.03,2015,Musanze
278,Godwin,Downton,S,RW12,Zulu,43,90718.08,2015,Gasabo
279,Artair,Lakenden,XS,RW26,Dari,26,328744.01,2015,Ruhango
280,Joelynn,Cosley,XS,RW45,Ndebele,51,563181.57,2015,Gicumbi
281,Skipper,Stoffers,S,RW52,Georgian,43,357509.22,2015,Nyagatare
282,Zerk,Bradborne,S,RW52,Moldovan,4,284351.26,2015,Nyagatare
283,Jacquelynn,Minci,L,RW24,Northern Sotho,46,985184.51,2015,Huye
284,Sue,Farnell,M,RW31,Romanian,89,473359.54,2015,Karongi
285,Judye,Becke,S,RW42,Portuguese,44,104897.95,2015,Gakenke
286,Dani,Suddock,M,RW53,Spanish,97,892437.06,2015,Gatsibo
287,Tristam,Gascoine,XS,RW54,Macedonian,18,620540.07,2015,Kayonza
288,Ami,Basindale,2XL,RW37,Papiamento,23,229743.28,2015,Nyamasheke
289,Gerardo,Curr,S,RW25,German,17,413514.34,2015,Nyamagabe
290,Thain,Dodgshon,2XL,RW54,Dari,7,105866.74,2015,Kayonza
291,Broderic,Hulks,2XL,RW55,Norwegian,68,184417.42,2015,Kirehe
292,Danny,Barsam,3XL,RW54,Tetum,31,550982.12,2015,Kayonza
293,Sidonia,Stacy,S,RW12,Catalan,53,257048.01,2015,Gasabo
294,Ann,Drew,XL,RW44,English,89,630093.31,2015,Burera
295,Tara,Grunnell,3XL,RW21,Ndebele,82,484903.83,2015,Nyanza
296,Roxine,Sayer,M,RW35,Filipino,88,509271.73,2015,Ngororero
297,Alex,Keogh,3XL,RW45,Persian,77,404169.59,2015,Gicumbi
298,Kent,Rakes,2XL,RW22,Chinese,20,802967.06,2015,Gisagara
299,Isaak,Midghall,XL,RW26,Azeri,50,507617.74,2015,Ruhango
300,Audie,Freire,L,RW45,Montenegrin,48,156491.75,2015,Gicumbi
301,Penni,Jepensen,2XL,RW11,Korean,95,527135.37,2015,Nyarugenge
302,Wernher,Artus,S,RW36,Sotho,34,266340.35,2015,Rusizi
303,Daphene,Egarr,S,RW31,Hungarian,42,621962.61,2015,Karongi
304,Aymer,Leipnik,S,RW55,Armenian,11,318323.65,2015,Kirehe
305,Laurens,Goublier,XL,RW44,Arabic,54,622150.41,2015,Burera
306,Zea,Portress,XL,RW24,Belarusian,97,728745.49,2015,Huye
307,Xavier,Baldack,L,RW31,Khmer,94,246459.38,2015,Karongi
308,Boigie,Golston,XS,RW53,French,12,290321.23,2015,Gatsibo
309,Marlo,Sarll,XL,RW31,Italian,41,673547.35,2015,Karongi
310,Dominique,Robuchon,M,RW41,Swati,96,344264.01,2015,Rulindo
311,Lucia,Croad,M,RW25,German,63,523185.11,2015,Nyamagabe
312,Natassia,Message,L,RW44,Hiri Motu,32,328840.69,2015,Burera
313,Catriona,Tourner,2XL,RW45,Malagasy,75,974433.17,2015,Gicumbi
314,Miles,McKeeman,XS,RW12,Bulgarian,54,330616.11,2015,Gasabo
315,Quintin,Spurgin,2XL,RW45,Amharic,100,327242.79,2015,Gicumbi
316,Terrell,Dixie,2XL,RW52,Hungarian,37,729772.16,2015,Nyagatare
317,Sanderson,Maine,XL,RW57,Hiri Motu,64,502120.73,2015,Bugesera
318,Jeniece,Pallasch,M,RW26,Punjabi,82,781229.04,2015,Ruhango
319,Rosa,Paulson,M,RW31,Czech,70,349423.73,2015,Karongi
320,Beauregard,Agglio,XL,RW25,Czech,61,880656.03,2015,Nyamagabe
321,Cordelia,Secret,2XL,RW32,Amharic,14,227717.23,2015,Rutsiro
322,Minda,Lambourn,2XL,RW57,Dzongkha,47,539806.64,2015,Bugesera
323,Ragnar,Barratt,S,RW43,Albanian,91,511703.75,2015,Musanze
324,Oriana,McIlveen,XL,RW35,Kurdish,16,789862.82,2015,Ngororero
325,Shandra,Cuschieri,2XL,RW11,Yiddish,92,277712.06,2015,Nyarugenge
326,Ossie,Baccup,XL,RW44,Burmese,91,836335.89,2015,Burera
327,Melita,Deabill,L,RW23,Afrikaans,26,473629.29,2015,Nyaruguru
328,Borden,Fairbeard,XS,RW55,Finnish,78,169793.89,2015,Kirehe
329,Maddy,Streatfeild,3XL,RW13,Kashmiri,81,380772.43,2015,Kicukiro
330,Helen-elizabeth,Batrip,S,RW31,Belarusian,93,560135.35,2015,Karongi
331,Rikki,Lawlee,M,RW31,Azeri,89,917924.11,2015,Karongi
332,Van,Liston,S,RW22,Māori,78,332466.76,2015,Gisagara
333,Gert,Armatys,XS,RW13,Bulgarian,10,383194.49,2015,Kicukiro
334,Mohandis,Fetteplace,XL,RW43,Irish Gaelic,52,391164.77,2015,Musanze
335,Gun,Bartelli,M,RW27,Swedish,7,123495.03,2015,Muhanga
336,Donnie,Piatkow,2XL,RW55,Korean,36,131347.33,2015,Kirehe
337,Edsel,Schaffel,XS,RW52,Catalan,57,372985.13,2015,Nyagatare
338,Gaby,Vane,XS,RW35,Persian,85,893336.18,2015,Ngororero
339,Mort,Celler,XS,RW23,French,33,559197,2015,Nyaruguru
340,Carolus,Tapner,3XL,RW32,English,87,859877.94,2015,Rutsiro
341,Cynthea,Quant,M,RW55,Persian,29,874683.31,2015,Kirehe
